Resource_Type,Framework,Name,Use_When,Subject_Line,Content,Notes_Why_It_Works,Industry,Contributor
0 - How To Use,ALL,About this sheet,,,"All-in-one Qualtrics prospecting resource built from 382 real emails that booked meetings, plus research from Lavender, Gong, 30MPC, and Outreach. Filter the Resource_Type column: Framework Overview = pick your scenario; Email Template = copy/paste body; Real Example = filled-in winner from the source doc; Subject Line rows = subject templates, examples, and rules; Swap-In Bank = openers/proof/CTAs to remix; Source Email = all 382 original winners categorized.",Recommended flow: 1) Pick framework via Framework Overview. 2) Copy the Email Template. 3) Model your fill-ins on the Real Example. 4) Pick a Subject Line Template. 5) Check the Checklist rows before sending.,,
1 - Framework Overview,F1 You Already Use Us (Expansion),F1 You Already Use Us (Expansion),Account is already a Qualtrics customer; you want a new stakeholder/team,,,"61 of 382 winners (16%). Heaviest: Higher Ed, Healthcare, Foodservice. Converts cold intro to warm in sentence 1 - the company already vouches for you; ""what's new (AI)"" gives a reason to talk now.",,
1 - Framework Overview,F2 Reconnect / New POC,F2 Reconnect / New POC,"Prior conversation, lapsed deal, or you inherited the account",,,"60 of 382 (16%) - HIGHEST REPLY RATE. Heaviest: Healthcare (19), Education, Gov. ""Based on my notes you spoke with [X] in [year]"" proves homework; ""Qualtrics has changed since"" makes a no-pressure reason to talk.",,
1 - Framework Overview,F3 Role + Peer Proof (Cold),F3 Role + Peer Proof (Cold),Genuinely cold/net-new; you know their role + relevant named peers,,,"135 of 382 (35%) - largest bucket. Heaviest: Healthcare, Gov SLG, Education. Three beats: relevant to your role -> proof via named peers -> low-commitment ask.",,
1 - Framework Overview,F4 Trigger Strike (Intent/Signal),F4 Trigger Strike (Intent/Signal),"They did something: demo view, content view, pricing request, new role, published initiative, inbound request",,,"71 of 382 (19%). Heaviest: Healthcare (33), Life Sciences (11). Timely + earned; shortest emails; fastest conversions. Pair with same-day phone call.",,
1 - Framework Overview,F5 Borrowed Trust (Referral/On-site),F5 Borrowed Trust (Referral/On-site),Someone can vouch for you (referral/internal sponsor) or your AE is in their area,,,"55 of 382 (14%). Heaviest: Gov SLG (16), K-12 (15). Transfers a third party's credibility instantly; on-site adds scarcity.",,
2 - Winning Principle (Body),ALL,"Open by naming the relationship, not yourself",,,"Top openers: ""I'm on the Qualtrics team supporting [Company]"" / ""I support the [Company] + Qualtrics relationship alongside [Colleague]"" / ""Reaching out on behalf of the [Company] account team."" Most-repeated phrase in dataset: ""account team here at Qualtrics"".",From analysis of all 382 winners,,
2 - Winning Principle (Body),ALL,One specific true detail in line 1,,,"A role, prior conversation, trigger, new-role congrats, or referrer. Never ""I hope this email finds you well"".",From analysis of all 382 winners,,
2 - Winning Principle (Body),ALL,Proof through named peers,,,"""...your peers including companies like Citi, AMEX, and JPMC"" / ""...life sciences orgs such as Boston Scientific, Johnson & Johnson and Roche"".",From analysis of all 382 winners,,
2 - Winning Principle (Body),ALL,A reason to talk NOW,,,"Almost always ""what's new"" (AI / new capabilities in last 12 months) or a deadline (renewal, RFP, license sunset).",From analysis of all 382 winners,,
